uf,numeroZE,numeroLocalVotacao,nome,endereco,quantidadeSecoes,latitude,longitude
DF,5,1775,CENTRO DE ENSINO FUNDAMENTAL 09 - ANTIGO COER,AR 13 CONJ 1 AREA ESPECIAL 3,10,-15.6428118,-47.8209706
DF,5,1783,ESCOLA CLASSE 01,QUADRA 6 AREA ESPECIAL 1 RUA 5,4,-15.6497743,-47.7985238
DF,5,1805,CENTRO DE EDUCAÇÃO NERY LACERDA - CENEL,SH MANSÕES SOBRADINHO CONDOMÍNIO MINI-CHÁCARAS ES 11B - SOBRADINHO,5,-15.6367978,-47.8444844
DF,5,1813,INSTITUTO PEDAGOGICO CRESCER,"BR 020 KM 2 COND. GRAN VILLE, LOTE 9",2,-15.6824276,-47.8416044
DF,5,1821,CENTRO DE ENSINO FUNDAMENTAL QUEIMA LENÇOL,SITIO PATRICIA DF 325 KM 8/9 LOBERAL ZONA RURAL,3,-15.5892085,-47.8435432
DF,6,1015,ESCOLA CLASSE PARANA,EQ 01/02 LOTE H-SRL,11,-15.6149674,-47.6455861
DF,6,1031,CENTRO DE ENSINO FUNDAMENTAL 08 DE PLANALTINA,EQ 03/04 LOTE H-SRL,11,-15.6213731,-47.6457829
DF,6,1058,ESCOLA CLASSE 06,EQ 05/06 LOTE G-SRL,11,-15.6272764,-47.6467975
DF,6,1066,ESCOLA CLASSE 01,AV. INDEPENDÊNCIA 102,12,-15.6254219,-47.6552759
DF,6,1074,ESCOLA CLASSE 05,AV. CONTORNO Q. 17-VILA VICENTINA,10,-15.6316227,-47.6545569
DF,6,1082,CENTRO DE ENSINO FUNDAMENTAL 02,AV. SÃO PAULO QD 52 LOTE B,14,-15.6219941,-47.6566037
DF,6,1120,CENTRO DE ENSINO FUNDAMENTAL 04,SETOR EDUCACIONAL LOTE C/D,8,-15.622108,-47.6518227
DF,6,1139,CENTRO EDUCACIONAL 01,SETOR EDUCACIONAL LOTES A/B,16,-15.6198276,-47.6516849
DF,6,1171,ESCOLA CLASSE ETA 44,BR 020 KM 18 NUCLEO EXPERIMENTAL EMBRAPA,2,-15.592917,-47.7296058
DF,6,1201,ESCOLA CLASSE  MESTRE D'ARMAS,DF 130 DF 150 KM 18 VALE DO AMANHECER,11,-15.672355,-47.6465198
DF,6,1210,ESCOLA CLASSE MONJOLO,BR 020 DF 335 FAZENDA MONJOLO,5,-15.5377964,-47.6862922
DF,6,1228,CENTRO EDUCACIONAL TAQUARA,BR 020 DF 019 NUCLEO RURAL TAQUARA,5,-15.6334555,-47.5221482
DF,6,1252,CENTRO DE ENSINO FUNDAMENTAL PIPIRIPAU II,BR 020 DF 365 DF 017 NUCLEO RURAL PIPIRIPAU,3,-15.5349437,-47.512018
DF,6,1279,CENTRO DE ENSINO FUNDAMENTAL  SÃO JOSÉ,DF 250 NUCLEO RURAL SÃO JOSÉ,6,-15.7041622,-47.3737344
DF,6,1287,ESCOLA CLASSE ALTAMIR,DF 128 KM 8 BICA DO DER,5,-15.6332525,-47.6811145
DF,6,1295,ESCOLA CLASSE SANTOS DUMONT,DF 130 KM 18-NÚCLEO RURAL SANTOS DUMONT,5,-15.678664,-47.6481146
DF,6,1325,CENTRO DE ENSINO MÉDIO 02,SETOR EDUCACIONAL LOTES J/L,11,-15.6212844,-47.6536368
DF,6,1376,CENTRO EDUCACIONAL 03,EQ 02/03 SETOR RESIDENCIAL NORTE,13,-15.60309356,-47.65035138
DF,6,1406,CENTRO DE ENSINO FUNDAMENTAL  03,EQ 10/20 CONJ H LOTE 01-BURITIS II,12,-15.6158534,-47.6405566
DF,6,1422,CENTRO DE ENSINO FUNDAMENTAL JK,BR 020 MOD. 07 LOTES 16/19-COND. MESTRE DARMAS,8,-15.6012899,-47.6876925
DF,6,1481,CENTRO EDUCACIONAL VARZEAS,DF 120 NÚCLEO RURAL TABATINGA,3,-15.8208781,-47.5704574
DF,6,1490,CENTRO DE ENSINO FUNDAMENTAL RIO PRETO,DF 320 NÚCLEO RURAL RIO PRETO,5,-15.7629614,-47.4928285
DF,6,1520,CENTRO DE ENSINO FUNDAMENTAL NOSSA SENHORA DE FÁTIMA,AREA ESPECIAL 01 VNS DE FATIMA,9,-15.60288469,-47.65789315
DF,6,1546,ESCOLA TÉCNICA DE SAÚDE DE PLANALTINA,ENTRE AV. CONTORNO/AV. INDEPENDÊNCIA - SETOR HOSPITALAR,6,-15.6246916,-47.655052
DF,6,1554,CAIC ASSIS CHATEAUBRIAND,AREA ESPECIAL 04 SRL,11,-15.61801776,-47.64197608
DF,6,1562,CENTRO DE ENSINO FUNDAMENTAL COND ESTÂNCIA III,MODULO 01 RUA 01/16-ESTÂNCIA III,5,-15.6178621,-47.6867358
