numeroZE,rota,parada,numeroLocalVotacao
11,1,8,1120
11,1,14,1139
11,1,13,1147
11,1,6,1155
11,1,12,1163
11,1,15,1171
11,1,16,1180
13,2,5,1015
13,2,10,1031
13,1,7,1040
13,1,10,1147
13,2,11,1155
13,2,18,1201
13,1,2,1244
13,1,4,1317
13,2,1,1325
13,1,5,1341
13,2,6,1376
13,2,2,1414
13,2,8,1422
13,2,14,1430
13,1,1,1449
13,1,9,1457
13,2,19,1538
13,1,3,1546
13,1,6,1554
13,2,17,1562
13,1,8,1570
13,2,15,1589
13,2,12,1597
13,2,9,1600
13,2,3,1619
13,2,16,1627
13,2,4,1660
13,2,13,1678
13,2,7,1686
14,2,2,1015
14,2,3,1023
14,2,10,1031
14,2,12,1040
14,2,15,1058
14,1,6,1074
14,2,1,1082
14,2,4,1090
14,1,12,1104
14,2,14,1112
14,2,17,1120
14,1,1,1139
14,1,4,1147
14,1,5,1155
14,1,10,1163
14,1,11,1171
14,1,13,1201
14,2,7,1236
14,2,8,1317
14,2,5,1333
14,2,16,1384
14,1,2,1406
14,2,9,1457
14,1,8,1465
14,1,7,1481
14,2,11,1490
14,1,14,1562
14,1,3,1570
14,2,6,1589
14,1,9,1619
14,2,13,1651
15,3,11,1015
15,3,6,1023
15,1,7,1058
15,3,1,1090
15,3,8,1112
15,3,5,1120
15,1,4,1139
15,1,3,1147
15,3,3,1180
15,3,10,1198
15,1,2,1210
15,1,5,1228
15,3,7,1287
15,1,10,1295
15,3,4,1309
15,2,12,1317
15,3,9,1350
15,1,1,1384
15,1,8,1392
15,2,8,1414
15,1,9,1422
15,2,1,1449
15,1,6,1457
15,2,11,1465
15,3,2,1473
15,2,9,1481
15,1,11,1490
15,2,10,1538
15,2,2,1562
15,2,5,1600
15,2,7,1619
15,2,6,1627
15,2,4,1635
15,3,12,1643
15,2,3,1651
16,4,6,1040
16,3,8,1058
16,3,6,1066
16,3,5,1074
16,3,11,1082
16,3,10,1090
16,4,8,1104
16,3,3,1120
16,3,7,1139
16,3,4,1147
16,4,9,1155
16,3,9,1163
16,3,13,1171
16,3,12,1180
16,4,13,1198
16,4,1,1210
16,3,2,1228
16,4,12,1236
16,4,10,1244
16,4,11,1252
16,4,7,1260
16,4,4,1279
16,4,3,1287
16,4,2,1295
16,3,1,1309
16,4,5,1317
16,1,9,1325
16,1,12,1333
16,1,2,1341
16,1,1,1350
16,1,13,1368
16,2,5,1376
16,1,14,1384
16,2,6,1392
16,2,3,1406
16,1,10,1414
16,2,11,1422
16,1,4,1430
16,2,10,1449
16,1,8,1457
16,2,9,1465
16,1,3,1473
16,1,17,1481
16,1,11,1490
16,2,4,1503
16,1,6,1511
16,2,12,1520
16,1,18,1538
16,1,7,1546
16,1,16,1554
16,2,2,1562
16,2,1,1570
16,2,7,1589
16,1,5,1597
16,2,8,1600
16,1,15,1619
17,1,13,1015
17,2,11,1023
17,2,9,1031
17,1,12,1040
17,1,15,1058
17,1,16,1066
17,1,5,1074
17,1,6,1082
17,1,7,1090
17,1,9,1104
17,1,8,1112
17,2,13,1120
17,2,10,1139
17,1,19,1147
17,1,17,1155
17,2,8,1163
17,1,4,1171
17,2,12,1180
17,1,11,1198
17,1,14,1210
17,1,18,1244
17,1,10,1287
17,2,1,1333
17,2,7,1341
17,1,3,1350
17,2,3,1368
17,2,2,1376
17,2,5,1384
17,1,1,1392
17,1,2,1406
17,2,4,1414
17,2,6,1422
18,2,1,1015
18,2,19,1023
18,2,8,1031
18,2,14,1040
18,4,2,1058
18,4,7,1066
18,4,11,1074
18,2,10,1082
18,2,3,1090
18,2,9,1104
18,2,16,1112
18,2,15,1120
18,2,7,1139
18,4,6,1147
18,2,6,1155
18,2,21,1163
18,4,9,1171
18,4,3,1180
18,4,5,1198
18,2,17,1201
18,4,4,1210
18,2,25,1236
18,2,12,1244
18,2,4,1252
18,2,11,1260
18,2,18,1279
18,2,2,1287
18,4,1,1295
18,4,10,1309
18,2,22,1317
18,2,13,1341
18,2,5,1350
18,2,20,1368
18,4,8,1376
18,2,24,1406
18,2,23,1414
19,1,12,1015
19,1,1,1023
19,1,11,1031
19,3,9,1040
19,1,17,1058
19,1,7,1066
19,1,3,1074
19,1,16,1082
19,1,8,1090
19,1,5,1104
19,1,4,1112
19,1,14,1120
19,1,9,1139
19,1,18,1147
19,1,20,1155
19,1,10,1163
19,1,13,1171
19,1,19,1180
19,1,15,1198
19,1,2,1201
19,3,4,1228
19,3,2,1236
19,3,3,1252
19,1,6,1260
19,3,6,1279
19,3,5,1287
19,3,1,1295
19,3,10,1325
19,3,8,1333
19,3,7,1341
20,1,12,1015
20,1,1,1023
20,1,4,1031
20,1,2,1040
20,1,3,1058
20,1,18,1066
20,1,6,1074
20,1,7,1082
20,1,5,1090
20,1,15,1104
20,1,17,1112
20,1,16,1120
20,1,9,1139
20,1,8,1147
20,1,10,1155
20,1,11,1163
20,1,14,1171
20,1,13,1198
21,2,11,1015
21,2,3,1023
21,1,8,1031
21,2,10,1040
21,2,7,1058
21,1,13,1066
21,1,11,1074
21,2,12,1082
21,1,2,1090
21,2,9,1104
21,2,5,1112
21,1,6,1120
21,2,8,1139
21,1,10,1147
21,1,4,1155
21,2,14,1163
21,1,5,1171
21,1,9,1180
21,1,14,1198
21,2,13,1201
21,1,3,1210
21,2,4,1228
21,1,12,1244
21,2,2,1252
21,2,6,1260
21,2,1,1287
21,1,1,1295
21,1,7,1309
